"Logon Fail active","Anmeldeversuchs-Modul aktiv"
"Will send emails to customers when they fail to login","Sendet eine Mail zu Kunden, welche sich nicht anmelden konnten"
"Logon Fail Email Template","Fehlversuchs Mail-Template"
"Stocknotification active","Bestandsmeldungs-Modul aktiv"
"Allows customers to register for products which are not in stock","Erlaubt Kunden, sich benachrichten zu lassen sobald Produkte wieder verfügbar sind"
"Stocknotification Email Template","Bestandsmeldung Mail-Template"
"Inform me by mail if the product is in stock again","Über Bestandsveränderung informieren lassen"
"Remove mail subscription about stock changes","EMail-Benachrichtigung für dieses Produkt löschen"
"Product notification","Bestandsbenachrichtigung"
"Successfully registered","Erfolgreich gespeichert"
"Successfully unregistered","Erfolgreich gelöscht"
"Back to product","Zurück zum Produkt"
"You will be informed by mail if the product is available","Sie werden per EMail kontaktiert, wenn das Produkt verfügbar ist."
