"Logon Fail active","Logon Fail active"
"Will send emails to customers when they fail to login","Will send emails to customers when they fail to login"
"Logon Fail Email Template","Logon Fail Email Template"
"Stocknotification active","Stocknotification active"
"Allows customers to register for products which are not in stock","Allows customers to register for products which are not in stock"
"Stocknotification Email Template","Stocknotification Email Template"
"Inform me by mail if the product is in stock again","Inform me by mail if the product is in stock again"
"Remove mail subscription about stock changes","Remove mail subscription about stock changes"
"Product notification","Product notification"
"Successfully registered","Successfully registered"
"Successfully unregistered","Successfully unregistered"
"Back to product","Back to product"
"You will be informed by mail if the product is available","You will be informed by mail if the product is available"
